distance (m),altitude (m)
2790.502869,2943.11
2793.61417,2943.49
2796.763882,2943.9
2799.950188,2944.32
2803.163783,2944.73
2806.408425,2944.73
2809.675291,2945.15
2812.958324,2945.56
2816.258525,2945.98
2819.574888,2946.39
2822.900091,2946.39
2826.239184,2946.8
2829.599987,2947.2
2832.980749,2947.57
2836.377661,2947.92
2839.797314,2947.92
2843.230857,2948.25
2846.669431,2948.57
2850.114086,2948.89
2853.56377,2949.21
2857.008425,2949.21
2860.455858,2949.54
2863.905542,2949.87
2867.358531,2950.21
2870.827658,2950.55
2874.31676,2950.55
2877.830863,2950.88
2881.377761,2951.2
2884.964091,2951.5
2888.583204,2951.81
2892.24176,2951.81
2895.936431,2952.1
2899.661089,2952.4
2903.419653,2952.71
2907.208195,2953.02
2911.025095,2953.02
2914.869774,2953.34
2918.744419,2953.66
2922.647435,2953.98
2926.577631,2954.31
2930.533429,2954.31
2934.517005,2954.63
2938.524971,2954.94
2942.561329,2955.25
2946.622068,2955.54
2950.708429,2955.54
2954.819791,2955.83
2958.961079,2956.11
2963.130778,2956.39
2967.316506,2956.67
2971.522318,2956.67
2975.726742,2956.95
2979.929135,2957.23
2984.11828,2957.51
2988.281788,2957.79
2992.395928,2957.79
2996.471176,2958.05
3000.498586,2958.3
3004.476606,2958.53
3008.415135,2958.75
3012.309817,2958.75
3016.171164,2958.94
3020.006924,2959.12
3023.821046,2959.29
3027.615143,2959.46
3031.398707,2959.46
3035.173938,2959.63
3038.945815,2959.81
3042.719657,2960.01
3046.494312,2960.21
3050.280654,2960.21
3054.083664,2960.41
3057.911092,2960.59
3061.769661,2960.74
3065.655417,2960.86
3069.577878,2960.86
3073.530897,2960.97
3077.511089,2961.06
3081.519667,2961.15
3085.555408,2961.26
3089.616767,2961.26
3093.70035,2961.39
3097.805529,2961.52
3101.930782,2961.67
3106.058182,2961.83
3110.176489,2961.83
3114.285073,2962.01
3118.354145,2962.2
3122.376613,2962.41
3126.35125,2962.64
3130.254266,2962.64
3134.096167,2962.89
3137.873599,2963.16
3141.584937,2963.46
3145.23738,2963.78
3148.829266,2963.78
3152.368372,2964.11
3155.856941,2964.45
3159.29604,2964.78
3162.692951,2965.11
3166.051489,2965.11
3169.373914,2965.43
3172.662502,2965.74
3175.923812,2966.05
3179.165182,2966.35
3182.387601,2966.35
3185.604465,2966.64
3188.823614,2966.94
3192.048811,2967.24
3195.281848,2967.54
3198.537603,2967.54
3201.804468,2967.85
3205.090279,2968.17
3208.390481,2968.5
3211.684624,2968.85
3214.973713,2968.85
3218.237801,2969.2
3221.465284,2969.56
3224.648811,2969.93
3227.787412,2970.29
3230.859822,2970.29
3233.873895,2970.64
3236.831958,2970.98
3239.729357,2971.32
3242.559653,2971.64
3245.318155,2971.64
3248.00443,2971.97
3250.612525,2972.28
3253.137679,2972.58
3255.584677,2972.86
3257.948711,2972.86
3260.232184,2973.13
3262.440315,2973.38
3264.576556,2973.61
3266.640256,2973.83
3268.6376,2973.83
3270.568274,2974.05
3272.43477,2974.25
3274.240435,2974.46
3275.987498,2974.65
3277.684824,2974.65
3279.332147,2974.83
3280.934778,2974.98
3282.495984,2975.12
3284.009734,2975.24
3285.479269,2975.24
3286.904356,2975.35
3288.284785,2975.47
3289.623755,2975.59
3290.934747,2975.72
3292.220936,2975.72
3293.496014,2975.86
3294.776452,2976.01
3296.070976,2976.17
3297.36808,2976.32
3298.684827,2976.32
3300.00713,2976.46
3301.326453,2976.61
3302.6432,2976.76
3303.956969,2976.91
3305.259826,2976.91
3306.55435,2977.06
3307.840343,2977.21
3309.120977,2977.37
3310.395861,2977.53
3311.662605,2977.53
3312.932127,2977.7
3314.20701,2977.88
3315.4932,2978.07
3316.801413,2978.27
3318.137606,2978.27
3319.507134,2978.46
3320.915338,2978.64
3322.370983,2978.81
3323.870846,2978.96
3325.426496,2978.96
3327.03215,2979.1
3328.690331,2979.25
3330.407103,2979.42
3332.176386,2979.62
3334.001497,2979.62
3335.879389,2979.82
3337.804213,2980.03
3339.773778,2980.24
3341.787483,2980.42
3343.845942,2980.42
3345.934959,2980.59
3348.051432,2980.74
3350.190451,2980.88
3352.343032,2981.02
3354.498719,2981.02
3356.650239,2981.17
3358.797265,2981.34
3360.930729,2981.52
3363.055534,2981.72
3365.17233,2981.72
3367.28357,2981.95
3369.39171,2982.19
3371.501562,2982.44
3373.612479,2982.71
3375.740387,2982.71
3377.882184,2982.97
3380.034765,2983.23
3382.201564,2983.49
3384.387475,2983.74
3386.595943,2983.74
3388.823857,2983.96
3391.076428,2984.14
3393.351567,2984.27
3395.645802,2984.35
3397.957054,2984.35
3400.293308,2984.4
3402.654203,2984.44
3405.043238,2984.51
3407.465238,2984.63
3409.929278,2984.63
3412.432208,2984.83
3414.97642,2985.11
3417.565467,2985.44
3420.193004,2985.82
3422.8515,2985.82
3425.548887,2986.24
3428.290302,2986.69
3431.079362,2987.16
3433.915213,2987.66
3436.804279,2987.66
3439.743347,2988.17
3442.740295,2988.7
3445.790481,2989.23
3448.873532,2989.73
3451.987611,2989.73
3455.11558,2990.21
3458.238905,2990.64
3461.35854,2991.05
3464.458256,2991.43
3467.508443,2991.43
3470.522516,2991.8
3473.494466,2992.18
3476.422422,2992.58
3479.322157,2992.99
3482.188998,2992.99
3485.039172,2993.41
3487.883357,2993.82
3490.730752,2994.22
3493.580491,2994.61
3496.447333,2994.61
3499.330843,2994.98
3502.230577,2995.35
3505.1502,2995.7
3508.086043,2996.05
3511.041779,2996.05
3514.014182,2996.38
3517.008353,2996.7
3520.025203,2997.01
3523.061037,2997.32
3526.114001,2997.32
3529.183633,2997.64
3532.269462,2997.98
3535.372429,2998.35
3538.494366,2998.74
3541.625113,2998.74
3544.778083,2999.15
3547.961125,2999.58
3551.17521,3000.01
3554.424913,3000.45
3557.722337,3000.45
3561.061429,3000.89
3564.441676,3001.34
3567.866885,3001.78
3571.330457,3002.22
3574.827892,3002.22
3578.361442,3002.66
3581.927782,3003.1
3585.525224,3003.54
3589.15267,3003.98
